user,start,end,duration_min,num_requests,mean_latency_ms,median_latency_ms,std_latency_ms,error_rate,unique_endpoints,start_hour,day_of_week
<script>alert(1)</script>,2025-07-31T15:35:21.100235,2025-07-31T15:35:21.100235,0.0,1,8.541345596313477,8.541345596313477,0.0,0.0,1,15,3
<script>alert(1)</script>,2025-08-25T22:04:32.517944,2025-08-25T22:04:32.517944,0.0,1,6.820440292358398,6.820440292358398,0.0,0.0,1,22,0
alice,2025-07-31T15:35:20.732591,2025-07-31T15:35:20.773507,0.0006819333333333334,4,7.4089765548706055,7.5531005859375,2.9095135926727496,0.0,4,15,3
alice,2025-08-25T22:04:31.765334,2025-08-25T22:04:31.822467,0.0009522166666666667,4,10.014116764068604,10.622262954711914,2.9136057023637147,0.0,4,22,0
bob,2025-07-31T15:35:20.766959,2025-07-31T15:35:20.766959,0.0,1,4.2819976806640625,4.2819976806640625,0.0,0.0,1,15,3
bob,2025-08-25T22:04:31.812335,2025-08-25T22:04:31.812335,0.0,1,6.588935852050781,6.588935852050781,0.0,0.0,1,22,0
conc,2025-07-31T15:35:20.802157,2025-07-31T15:35:20.894776,0.0015436500000000001,12,4.650413990020752,4.850149154663086,0.6950713242008354,0.0,2,15,3
conc,2025-08-25T22:04:31.858383,2025-08-25T22:04:31.987906,0.0021587166666666665,12,5.933324495951335,5.9746503829956055,1.1843241426592386,0.0,2,22,0
mass,2025-07-31T15:35:21.008562,2025-07-31T15:35:21.008562,0.0,1,5.502939224243164,5.502939224243164,0.0,0.0,1,15,3
mass,2025-08-25T22:04:32.402668,2025-08-25T22:04:32.402668,0.0,1,10.519742965698242,10.519742965698242,0.0,0.0,1,22,0
neg,2025-07-31T15:35:20.941715,2025-07-31T15:35:20.949249,0.00012556666666666666,2,3.293633460998535,3.293633460998535,0.24116039276123047,1.0,2,15,3
neg,2025-08-25T22:04:32.049837,2025-08-25T22:04:32.057899,0.00013436666666666666,2,5.513191223144531,5.513191223144531,2.565145492553711,1.0,2,22,0
test,2026-01-03T02:04:33.005505,2026-01-03T02:04:33.005505,0.0,1,10.952949523925781,10.952949523925781,0.0,0.0,1,2,5
twin,2025-07-31T15:35:21.134193,2025-07-31T15:35:21.134193,0.0,1,8.533954620361328,8.533954620361328,0.0,0.0,1,15,3
twin,2025-08-25T22:04:32.555352,2025-08-25T22:04:32.555352,0.0,1,5.362510681152344,5.362510681152344,0.0,0.0,1,22,0
user1,2026-01-03T02:04:19.122775,2026-01-03T02:04:19.122775,0.0,1,24.718523025512695,24.718523025512695,0.0,0.0,1,2,5
